Day,Date,Sample ID,SL,Sex,Count,Area,% Area,SL_Norm,Cohort,,43.163
5,12/07/2022,1,17.571,F,154,0.059,0.697,0.407084772,DA,,
5,12/07/2022,2,13.101,M,102,0.017,0.348,0.303523851,DA,,
5,12/07/2022,3,14.761,F,75,0.025,0.349,0.341982717,DA,,
5,12/07/2022,4,15.099,F,114,0.028,0.395,0.349813498,DA,,
5,12/07/2022,5,16.972,M,170,0.043,0.528,0.393207145,DA,,
5,12/07/2022,6,15.686,F,149,0.056,0.705,0.363413108,DA,,
5,12/07/2022,7,17.528,M,229,0.079,0.986,0.406088548,DA,,
5,12/07/2022,8,13.292,F,121,0.013,0.258,0.307948938,DA,,
5,12/07/2022,9,18.033,M,177,0.068,0.78,0.417788384,DA,,
15,22/07/2022,1,18.241,F,122,0.034,0.262,0.422607326,DA,,
15,22/07/2022,2,13.798,M,137,0.017,0.297,0.319671941,DA,,
15,22/07/2022,3,16.162,F,82,0.019,0.248,0.374441072,DA,,
15,22/07/2022,4,16.559,F,63,0.017,0.182,0.383638765,DA,,
15,22/07/2022,5,18.259,M,148,0.092,0.823,0.42302435,DA,,
15,22/07/2022,6,17.112,F,133,0.037,0.386,0.396450664,DA,,
15,22/07/2022,7,18.823,M,126,0.101,0.859,0.436091097,DA,,
15,22/07/2022,8,15.682,F,151,0.027,0.324,0.363320436,DA,,
15,22/07/2022,9,18.97,M,97,0.175,1.38,0.439496791,DA,,
15,22/07/2022,10,17.611,M,103,0.151,1.597,0.408011491,DA,,
30,06/08/2022,1,20.58,F,138,0.043,0.322,0.476797257,DA,,
30,06/08/2022,2,17.067,M,196,0.018,0.213,0.395408104,DA,,
30,06/08/2022,3,18.895,F,247,0.017,0.173,0.437759192,DA,,
30,06/08/2022,4,18.939,F,191,0.037,0.357,0.438778584,DA,,
30,06/08/2022,5,20.995,M,173,0.048,0.354,0.486411973,DA,,
30,06/08/2022,6,19.845,F,179,0.028,0.194,0.459768783,DA,,
30,06/08/2022,7,21.918,M,182,0.05,0.347,0.507796029,DA,,
30,06/08/2022,8,18.831,F,150,0.018,0.187,0.43627644,DA,,
30,06/08/2022,10,20.31,M,158,0.049,0.43,0.470541899,DA,,
50,26/08/2022,1,23.498,F,363,0.015,0.089,0.544401455,DA,,
50,26/08/2022,2,19.701,M,325,0.011,0.108,0.456432593,DA,,
50,26/08/2022,3,22.646,F,502,0.012,0.082,0.524662327,DA,,
50,26/08/2022,4,21.15,F,295,0.012,0.092,0.490003012,DA,,
50,26/08/2022,5,25.134,M,294,0.01,0.058,0.582304288,DA,,
50,26/08/2022,6,22.991,F,341,0.029,0.165,0.532655283,DA,,
50,26/08/2022,7,25.145,M,403,0.022,0.091,0.582559136,DA,,
50,26/08/2022,8,21.792,F,367,0.015,0.121,0.504876862,DA,,
50,26/08/2022,9,25.078,M,206,0.008,0.039,0.581006881,DA,,
50,26/08/2022,10,23.823,M,306,0.018,0.114,0.551931052,DA,,
61,06/09/2022,1,24.831,F,158,0.024,0.114,0.575284387,DA,,
61,06/09/2022,2,20.907,M,55,0.007,0.048,0.48437319,DA,,
61,06/09/2022,3,24.169,F,195,0.017,0.09,0.559947177,DA,,
61,06/09/2022,4,22.807,F,97,0.02,0.121,0.528392373,DA,,
61,06/09/2022,5,26.833,M,134,0.014,0.058,0.621666705,DA,,
