Date collected,Morph,Sample ID,Sex,SL,Environment,Stage,Iridophore stage
20/10/2021,Benthic,FSB 1,F,9.642,Isolated,Early juveniles,1
20/10/2021,Benthic,FSB 2,M,9.699,Isolated,Early juveniles,1
20/10/2021,Benthic,FSB 3,F,9.23,Isolated,Early juveniles,1
20/10/2021,Benthic,FSB 4,F,9.715,Isolated,Early juveniles,1
20/10/2021,Benthic,FSB 5,M,9.631,Isolated,Early juveniles,1
20/10/2021,Benthic,FSB 6,M,9.743,Isolated,Early juveniles,1
07/07/2022,Benthic,1,F,16.509,Late stage isolated,Late juvenile,2
12/07/2022,Benthic,2,M,12.519,Late stage isolated,Late juvenile,1
12/07/2022,Benthic,3,F,14.557,Late stage isolated,Late juvenile,1
12/07/2022,Benthic,4,F,14.752,Late stage isolated,Late juvenile,1
07/07/2022,Benthic,5,M,12.351,Late stage isolated,Late juvenile,1
12/07/2022,Benthic,6,F,15.325,Late stage isolated,Late juvenile,1
07/07/2022,Benthic,7,M,13.23,Late stage isolated,Late juvenile,1
12/07/2022,Benthic,8,F,13.215,Late stage isolated,Late juvenile,1
12/07/2022,Benthic,9,M,17.675,Late stage isolated,Late juvenile,1
10/03/2022,Deep,1,,9.419,Isolated,Embryo,Y
10/03/2022,Deep,2,,9.692,Isolated,Embryo,Y
10/03/2022,Deep,3,,9.628,Isolated,Embryo,Y
10/03/2022,Deep,4,,9.473,Isolated,Embryo,Y
10/03/2022,Deep,5,,9.634,Isolated,Embryo,Y
11/03/2022,Deep,7,,10.349,Isolated,Embryo,Y
