Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,
FSL 1,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,
FSL 1,Littoral,13/08/2021,iridophores near 3,Iridophores,16/08/2021,3,M,
FSL 1,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,
FSL 1,Littoral,13/08/2021,associations 3-5,Iridophores,27/08/2021,14,M,
FSL 1,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,11/09/2021,29,M,
FSL 1,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,
FSL 1,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,
FSL 1,Littoral,13/08/2021,iridophores at 7,Iridophores,22/08/2021,9,M,
FSL 1,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,11/09/2021,29,M,
FSL 1,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,11/09/2021,29,M,
FSL 1,Littoral,13/08/2021,associations end second aggregation,Iridophores,01/10/2021,49,M,
FSL 1,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,01/10/2021,49,M,
FSL 1,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,M,
FSL 2,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,
FSL 2,Littoral,13/08/2021,iridophores near 3,Iridophores,16/08/2021,3,M,
FSL 2,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,
FSL 2,Littoral,13/08/2021,associations 3-5,Iridophores,22/08/2021,9,M,
FSL 2,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,27/08/2021,14,M,
FSL 2,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,
FSL 2,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,
FSL 2,Littoral,13/08/2021,iridophores at 7,Iridophores,22/08/2021,9,M,
FSL 2,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,01/09/2021,19,M,
FSL 2,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,01/09/2021,19,M,
FSL 2,Littoral,13/08/2021,associations end second aggregation,Iridophores,11/09/2021,29,M,
FSL 2,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,21/09/2021,39,M,
FSL 2,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,,,M,
FSL 3,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,
FSL 3,Littoral,13/08/2021,iridophores near 3,Iridophores,16/08/2021,3,M,
FSL 3,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,
FSL 3,Littoral,13/08/2021,associations 3-5,Iridophores,22/08/2021,9,M,
FSL 3,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,27/08/2021,14,M,
FSL 3,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,
FSL 3,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,
FSL 3,Littoral,13/08/2021,iridophores at 7,Iridophores,,,M,
FSL 3,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,01/09/2021,19,M,
FSL 3,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,01/09/2021,19,M,
FSL 3,Littoral,13/08/2021,associations end second aggregation,Iridophores,11/09/2021,29,M,
FSL 3,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,11/09/2021,29,M,
FSL 3,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,M,
FSL 4,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,F,
FSL 4,Littoral,13/08/2021,iridophores near 3,Iridophores,13/08/2021,0,F,
FSL 4,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,F,
FSL 4,Littoral,13/08/2021,associations 3-5,Iridophores,06/09/2021,24,F,
FSL 4,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,06/09/2021,24,F,
FSL 4,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,F,
FSL 4,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,F,
