Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,Cohort,Combi_cohort,
EB 1,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 2,Benthic,01/03/2022,xanthophores in fin,Xanthophore,05/03/2022,4,,,f emb_deep,embryo,
EB 3,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 4,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 5,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 6,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 7,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 8,Benthic,01/03/2022,xanthophores in fin,Xanthophore,05/03/2022,4,,,f emb_deep,embryo,
EL 1,Littoral,30/06/2021,xanthophores in fin,Xanthophore,06/07/2021,6,,,e emb_shallow,embryo,
EL 2,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EL 3,Littoral,30/06/2021,xanthophores in fin,Xanthophore,09/07/2021,9,,,e emb_shallow,embryo,
EL 4,Littoral,30/06/2021,xanthophores in fin,Xanthophore,03/07/2021,3,,,e emb_shallow,embryo,
EL 5,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EL 6,Littoral,30/06/2021,xanthophores in fin,Xanthophore,05/07/2021,5,,,e emb_shallow,embryo,
EL 7,Littoral,30/06/2021,xanthophores in fin,Xanthophore,08/07/2021,8,,,e emb_shallow,embryo,
EL 8,Littoral,30/06/2021,xanthophores in fin,Xanthophore,08/07/2021,8,,,e emb_shallow,embryo,
EL 9,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EB 1,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 2,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 3,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 4,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 5,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 7,Benthic,01/03/2022,iridophores in fin,Iridophores,11/03/2022,10,,,f emb_deep,embryo,
EL 1,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 2,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 3,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 4,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 5,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 6,Littoral,30/06/2021,iridophores in fin,Iridophores,12/07/2021,,,,e emb_shallow,embryo,
EL 7,Littoral,30/06/2021,iridophores in fin,Iridophores,11/07/2021,,,,e emb_shallow,embryo,
EL 8,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 9,Littoral,30/06/2021,iridophores in fin,Iridophores,,,,,e emb_shallow,embryo,
