Individual,Morph,Date,Day,Standard_length_mm,Sex,Group ,Start  date,Initial_SL,Clutch,,,,
FSL 1,Littoral,13/08/2021,0,9.995,M,littoral_freeswim,13/08/2021,9.995,,,,,
FSL 2,Littoral,13/08/2021,0,10.409,M,littoral_freeswim,13/08/2021,10.409,,,,,
FSL 3,Littoral,13/08/2021,0,10.438,M,littoral_freeswim,13/08/2021,10.438,,,,,
FSL 4,Littoral,13/08/2021,0,10.346,F,littoral_freeswim,13/08/2021,10.346,,,,,
FSL 5,Littoral,13/08/2021,0, ,M,littoral_freeswim,13/08/2021,10.855,,,,,
FSL 6,Littoral,13/08/2021,0, ,F,littoral_freeswim,13/08/2021,11.265,,,,,
FSL 7,Littoral,13/08/2021,0,10.545,M,littoral_freeswim,13/08/2021,10.545,,,,,
FSL 8,Littoral,13/08/2021,0,10.797,F,littoral_freeswim,13/08/2021,10.797,,,,,
FSL 1,Littoral,16/08/2021,3,10.884,M,littoral_freeswim,13/08/2021,9.995,,,,,
FSL 2,Littoral,16/08/2021,3,11.23,M,littoral_freeswim,13/08/2021,10.409,,,,,
FSL 3,Littoral,16/08/2021,3,11.077,M,littoral_freeswim,13/08/2021,10.438,,,,,
FSL 4,Littoral,16/08/2021,3, ,F,littoral_freeswim,13/08/2021,10.346,,,,,
FSL 5,Littoral,16/08/2021,3,11.355,M,littoral_freeswim,13/08/2021,10.855,,,,,
FSL 6,Littoral,16/08/2021,3,11.315,F,littoral_freeswim,13/08/2021,11.265,,,,,
FSL 7,Littoral,16/08/2021,3,10.783,M,littoral_freeswim,13/08/2021,10.545,,,,,
FSL 8,Littoral,16/08/2021,3,11.025,F,littoral_freeswim,13/08/2021,10.797,,,,,
FSL 1,Littoral,19/08/2021,6,11.807,M,littoral_freeswim,13/08/2021,9.995,,,,,
FSL 2,Littoral,19/08/2021,6,12.257,M,littoral_freeswim,13/08/2021,10.409,,,,,
FSL 3,Littoral,19/08/2021,6,12.264,M,littoral_freeswim,13/08/2021,10.438,,,,,
FSL 4,Littoral,19/08/2021,6,12.256,F,littoral_freeswim,13/08/2021,10.346,,,,,
FSL 5,Littoral,19/08/2021,6,12.315,M,littoral_freeswim,13/08/2021,10.855,,,,,
FSL 6,Littoral,19/08/2021,6,12.095,F,littoral_freeswim,13/08/2021,11.265,,,,,
FSL 7,Littoral,19/08/2021,6,12.473,M,littoral_freeswim,13/08/2021,10.545,,,,,
FSL 8,Littoral,19/08/2021,6,12.176,F,littoral_freeswim,13/08/2021,10.797,,,,,
FSL 1,Littoral,22/08/2021,9,12.494,M,littoral_freeswim,13/08/2021,9.995,,,,,
FSL 2,Littoral,22/08/2021,9,12.392,M,littoral_freeswim,13/08/2021,10.409,,,,,
FSL 3,Littoral,22/08/2021,9,12.496,M,littoral_freeswim,13/08/2021,10.438,,,,,
